timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-06-22T00:00:00.000Z";"2023-06-22T23:59:59.999Z";"2023-06-22T03:02:00.000Z";"2023-06-22T00:13:00.000Z";50.1026387904;51.9828220555;49.9781503658;50.6916365752;43918942.21550845;729361545.1513503;"2023-06-22T23:59:59.999Z"
"2023-06-21T00:00:00.000Z";"2023-06-21T23:59:59.999Z";"2023-06-21T16:38:00.000Z";"2023-06-21T00:11:00.000Z";48.6082667414;50.5405324404;48.4529766327;50.1086793219;41923721.04562664;728070173.9787863;"2023-06-21T23:59:59.999Z"
"2023-06-20T00:00:00.000Z";"2023-06-20T23:59:59.999Z";"2023-06-20T23:56:00.000Z";"2023-06-20T14:31:00.000Z";47.4450878474;48.6439072907;46.1864903454;48.6068565474;32303244.29709519;701373470.559969;"2023-06-20T23:59:59.999Z"
"2023-06-19T00:00:00.000Z";"2023-06-19T23:59:59.999Z";"2023-06-19T18:27:00.000Z";"2023-06-19T09:22:00.000Z";46.5481375101;47.6942685593;46.4280349932;47.4408133233;27302262.347871963;683527662.5669646;"2023-06-19T23:59:59.999Z"
"2023-06-18T00:00:00.000Z";"2023-06-18T23:59:59.999Z";"2023-06-18T17:59:00.000Z";"2023-06-18T00:28:00.000Z";46.6604915542;47.3304393065;46.41649718;46.5482930011;25806093.1527029;670831116.5572084;"2023-06-18T23:59:59.999Z"
"2023-06-17T00:00:00.000Z";"2023-06-17T23:59:59.999Z";"2023-06-17T06:25:00.000Z";"2023-06-17T02:04:00.000Z";46.2429415455;47.5400017785;45.9783553295;46.6600890091;32848233.69908887;673230625.5024824;"2023-06-17T23:59:59.999Z"
"2023-06-16T00:00:00.000Z";"2023-06-16T23:59:59.999Z";"2023-06-16T18:27:00.000Z";"2023-06-16T14:49:00.000Z";45.8043821559;46.6681094313;45.0741342011;46.241233432;32454116.259633146;667829242.0980705;"2023-06-16T23:59:59.999Z"
"2023-06-15T00:00:00.000Z";"2023-06-15T23:59:59.999Z";"2023-06-15T00:57:00.000Z";"2023-06-15T11:28:00.000Z";48.0313427772;48.4123446753;45.340970443;45.8061853377;55471262.743145354;667083304.0611594;"2023-06-15T23:59:59.999Z"
"2023-06-14T00:00:00.000Z";"2023-06-14T23:59:59.999Z";"2023-06-14T19:11:00.000Z";"2023-06-14T21:28:00.000Z";51.0194850293;51.5597141469;47.7488404006;48.0322022005;35839362.5234935;696386098.6583186;"2023-06-14T23:59:59.999Z"
"2023-06-13T00:00:00.000Z";"2023-06-13T23:59:59.999Z";"2023-06-13T12:34:00.000Z";"2023-06-13T01:10:00.000Z";49.9120620758;51.670553267;49.4837576694;51.0198309221;33448835.715272296;737884461.1007594;"2023-06-13T23:59:59.999Z"
"2023-06-12T00:00:00.000Z";"2023-06-12T23:59:59.999Z";"2023-06-12T22:16:00.000Z";"2023-06-12T02:50:00.000Z";48.5372931223;50.0750952563;47.7051250208;49.910193535;36838198.87939676;720825409.5020286;"2023-06-12T23:59:59.999Z"
"2023-06-11T00:00:00.000Z";"2023-06-11T23:59:59.999Z";"2023-06-11T20:16:00.000Z";"2023-06-11T09:10:00.000Z";49.0540845297;49.586998338;48.1801782972;48.5391406256;34515909.05268989;699975776.2943088;"2023-06-11T23:59:59.999Z"
"2023-06-10T00:00:00.000Z";"2023-06-10T23:59:59.999Z";"2023-06-10T00:01:00.000Z";"2023-06-10T04:29:00.000Z";55.8254010249;55.8271334178;46.4686810394;49.0535558616;80344182.91739272;707888595.8217254;"2023-06-10T23:59:59.999Z"
"2023-06-09T00:00:00.000Z";"2023-06-09T23:59:59.999Z";"2023-06-09T13:28:00.000Z";"2023-06-09T07:34:00.000Z";55.496739945;56.2710621484;55.0739953921;55.8163175286;27479290.07057653;802627692.8100319;"2023-06-09T23:59:59.999Z"
"2023-06-08T00:00:00.000Z";"2023-06-08T23:59:59.999Z";"2023-06-08T12:59:00.000Z";"2023-06-08T03:33:00.000Z";55.20537626;56.3465772563;54.6160429358;55.4930901684;32601751.049600836;805986058.4508648;"2023-06-08T23:59:59.999Z"
"2023-06-07T00:00:00.000Z";"2023-06-07T23:59:59.999Z";"2023-06-07T00:49:00.000Z";"2023-06-07T22:01:00.000Z";57.8177277506;57.8177277506;54.8530813007;55.1977355236;36666317.49022418;796734908.9749026;"2023-06-07T23:59:59.999Z"
"2023-06-06T00:00:00.000Z";"2023-06-06T23:59:59.999Z";"2023-06-06T20:02:00.000Z";"2023-06-06T13:19:00.000Z";55.9928867287;58.6360366763;55.8274196577;57.8132142963;41916111.4646403;832839655.0774807;"2023-06-06T23:59:59.999Z"
"2023-06-05T00:00:00.000Z";"2023-06-05T23:59:59.999Z";"2023-06-05T00:13:00.000Z";"2023-06-05T16:07:00.000Z";58.7115160845;58.7673573073;53.7343172216;55.995968575;52648045.85951128;808689317.2753032;"2023-06-05T23:59:59.999Z"
"2023-06-04T00:00:00.000Z";"2023-06-04T23:59:59.999Z";"2023-06-04T11:01:00.000Z";"2023-06-04T23:49:00.000Z";59.2986835282;60.2367535749;58.6816066395;58.7127258926;40595291.76325994;845420152.2580048;"2023-06-04T23:59:59.999Z"
"2023-06-03T00:00:00.000Z";"2023-06-03T23:59:59.999Z";"2023-06-03T11:38:00.000Z";"2023-06-03T20:14:00.000Z";59.4833406198;60.0070559802;58.9147875964;59.3031620976;28932362.837741956;855238750.9123887;"2023-06-03T23:59:59.999Z"
"2023-06-02T00:00:00.000Z";"2023-06-02T23:59:59.999Z";"2023-06-02T19:40:00.000Z";"2023-06-02T00:40:00.000Z";58.2792256659;60.1625365348;57.942627933;59.4832078237;39168765.107264;854068197.8963345;"2023-06-02T23:59:59.999Z"
"2023-06-01T00:00:00.000Z";"2023-06-01T23:59:59.999Z";"2023-06-01T00:31:00.000Z";"2023-06-01T03:07:00.000Z";59.7154522793;60.0392194949;58.2809217336;58.2809217336;33007832.00527946;845664816.926494;"2023-06-01T23:59:59.999Z"
"2023-05-31T00:00:00.000Z";"2023-05-31T23:59:59.999Z";"2023-05-31T00:58:00.000Z";"2023-05-31T21:37:00.000Z";62.1530157939;62.3185142846;59.2991824363;59.7195661395;35950584.12024605;857801039.5139518;"2023-05-31T23:59:59.999Z"
"2023-05-30T00:00:00.000Z";"2023-05-30T23:59:59.999Z";"2023-05-30T10:55:00.000Z";"2023-05-30T17:34:00.000Z";62.9416834524;63.227985852;61.9044821708;62.1568232191;33712000.78883997;897264505.9679593;"2023-05-30T23:59:59.999Z"
"2023-05-29T00:00:00.000Z";"2023-05-29T23:59:59.999Z";"2023-05-29T00:26:00.000Z";"2023-05-29T17:09:00.000Z";64.4412730415;64.6858432629;62.5251209897;62.9349545195;33763296.30809624;905010305.5073221;"2023-05-29T23:59:59.999Z"
"2023-05-28T00:00:00.000Z";"2023-05-28T23:59:59.999Z";"2023-05-28T22:47:00.000Z";"2023-05-28T00:23:00.000Z";61.1842811311;64.7041962631;61.0347199604;64.442154556;37287816.828823455;927037349.6916639;"2023-05-28T23:59:59.999Z"
